180,145,203,191,186,224,5,333,61,264,66,329
194,132,262,182,505,252,1102,545,988,432,895,556
255,135,536,199,793,211,1076,201,987,188,1084,254
756,109,565,126,449,139,299,119,357,110,237,157
826,124,524,172,281,219,5,327,49,279,72,337
813,126,655,178,636,308,1155,688,1145,576,1038,701
1208,480,1008,365,956,242,1016,186,970,189,1041,252
1136,480,718,266,472,175,268,126,361,129,272,152
1147,517,637,311,328,240,8,314,37,279,65,331
213,812,506,667,806,639,1120,643,1074,577,941,800
25,581,351,420,762,263,1074,179,1004,166,1096,236
78,432,423,262,458,163,287,117,269,159,378,127
