42,224,93,278,82,372,1,434,2,389,20,451
81,206,456,415,808,632,1109,841,1049,702,978,849
132,185,390,241,678,233,966,154,852,156,993,205
790,101,586,136,376,175,203,153,282,149,208,183
802,102,486,176,248,262,1,396,6,355,16,411
846,120,555,229,732,562,1113,811,1048,704,978,852
1188,508,928,352,874,234,969,155,893,159,975,192
1162,586,745,341,437,216,194,151,225,190,300,142
1159,672,682,407,263,357,5,391,4,362,16,431
12,887,381,749,808,765,1115,837,1046,719,997,853
4,707,348,492,662,296,978,156,865,151,985,199
4,610,283,427,340,247,216,147,215,186,292,149
