230,181,208,224,121,300,13,350,18,318,18,383
168,163,371,331,685,606,1176,953,1194,877,1126,959
192,162,401,255,821,367,1176,347,1077,328,1162,392
1020,252,738,256,473,233,239,153,356,170,283,179
1039,259,712,270,352,304,17,363,21,329,21,392
1084,277,801,297,690,487,1111,951,1144,903,1092,956
1220,615,1156,506,1137,432,1153,355,1085,352,1211,383
1269,788,831,450,500,253,242,153,281,184,358,169
1270,882,687,472,267,377,11,361,24,328,23,394
10,569,356,652,702,799,1141,954,1188,892,1130,958
18,562,498,462,921,385,1218,342,1088,325,1177,396
14,514,310,324,393,225,265,151,291,191,360,169
