531,322,411,436,263,473,16,450,23,436,19,472
606,330,466,456,336,590,191,705,163,682,275,751
739,322,645,453,806,541,1221,579,1226,556,1221,608
1242,550,1012,525,944,440,1005,329,958,317,1045,329
1236,560,889,524,656,499,43,453,59,438,46,470
1239,575,705,507,427,536,227,698,216,654,292,709
845,731,917,570,1002,537,1239,573,1227,554,1223,603
804,723,889,528,939,402,1004,315,964,306,1033,329
650,940,760,700,712,550,44,448,63,440,50,467
23,457,285,486,333,562,194,680,263,563,342,593
35,451,516,506,861,542,1268,582,1238,537,1230,613
36,445,600,495,891,493,1003,356,916,370,1048,392
